genaro	genero
siiempre	siempre
unn	unen
gsta	gusta
kabe	cabe
uacha	lacha
decias	deciais
tt	tu
muii	mui
empedo	empedro
tt	tu
chiica	chica
qke	qee
quiem	quier
teeee	eeee
bocaa	boca
hise	hice
hiso	hizo
chupada	chulada
biem	bien
qieroo	qiero
mñana	mana
jugas	jugad
tampco	tampoco
puterios	puterio
ocurrio	ocurrir
puterios	puterio
comes	comed
mocos	locos
wiiii	siiii
beneficiada	beneficiado
cabio	sabio
admiradora	admirador
admirarte	admirarse
djate	date
acer	hacer
cbeza	cabeza
desirle	decirle
ema	eme
asique	psique
preguntes	preguntese
pitito	pitido
pongan	pingan
apura	apure
pisina	piscina
pisina	piscina
eri	heri
mñn	man
tay	tau
seguindo	seguido
kiko	kilo
holy	holi
pliss	plise
kiko	kilo
insolencias	insolencia
vistee	viste
fans	fas
vaser	vater
fans	fas
jona	joda
maaaa	aaaa
eqe	eme
tene	rene
ahoda	ahoga
embola	embolo
qiedo	quedo
buta	bita
qiedo	quedo
jajajajajja	jajajajajaj
nomàas	nomas
mìi	mii
vooo	volo
jajajaajajajajaja	jajajajajajajaja
pasò	pase
esooo	esoo
dejoo	dejo
beesoo	besoo
vii	vi
ura	hura
jona	joda
jajajajaaa	jajajajaja
hoooli	hooola
vosh	voss
pajeros	pajero
conocida	conocia
pijas	jijas
ajjajajaj	jajajajaj
dejalo	dejarlo
jaajajaja	jajajaja
porke	porqe
kiss	miss
veerga	verga
kiss	miss
estupidaa	estupida
felizes	felices
gordas	gordal
juna	tuna
cagata	agata
aprende	prende
bardear	bardar
compres	compre
morite	morirte
kiss	miss
arroyos	arroyo
enamoraste	enamorarte
recibira	recibir
tuyas	tuya
divertis	divertir
zule	hule
petes	pete
piolis	polis
karen	aren
zule	hule
creas	cresa
contame	contadme
naaah	aaah
zulema	zalema
debi	debo
iii	ii
aguanto	aguante
joni	jonio
peleo	pelelo
entienden	entiende
agarame	agardame
zulema	zalema
sorry	sorra
zulema	zalema
entendelo	entendedlo
iii	ii
encuentras	encuentra
colita	solita
hacete	hocete
weon	meon
contando	cantando
puntitos	puntito
jajjajajajaja	jajajajajaja
eii	ei
esperes	espere
ansias	ansia
integrantes	integrante
comidaa	comida
comenta	comente
mary	mare
ganes	panes
noel	novel
jajajajjaa	jajajajaja
pedirias	pediras
popu	popa
preferidos	preferido
cofran	cifran
vacaiones	vacaciones
geniales	genitales
necesitas	necesitar
merlino	melino
merlino	melino
seera	sera
ell	el
esee	ese
preguntoo	pregunto
merlino	melino
boe	be
pajera	pajero
saliste	salirte
andarias	andaras
merlino	melino
limdo	liado
merlino	melino
contaron	cantaron
mandas	mandad
blda	boda
zo	so
qlo	lo
jelena	helena
respondes	responded
frases	frase
buscas	buscad
ajajajajajaj	jajajajajajaj
etuve	estuve
chirro	churro
quinteros	quintero
chirro	churro
ine	one
levantan	levantar
genios	venios
sisiis	sisis
conocemos	conoceros
buscas	buscad
delfina	delfin
jajaaj	jajaja
comparto	comparte
amabas	ambas
blas	balas
mogo	mojo
pensa	penca
favoriito	favorito
fei	feo
chatt	chata
yamil	tamil
besiito	besito
gor	gol
yamil	tamil
estarias	estaria
ace	hace
yamil	tamil
kee	qee
enn	nen
tuu	tu
tuu	tu
siigoo	sigoo
alas	atas
aburri	aburro
decirles	decirle
cumplas	cumpla
retos	rotos
tramposa	tramposo
andres	andes
tramposa	tramposo
comparto	comparte
jijii	jiji
pasoooo	pasooo
comiera	cogiera
dte	ate
carlota	carlita
respondes	responded
atodas	todas
remera	remero
bombacha	bombacho
ojito	jito
guachos	guacho
atrevidos	atrevido
ahrre	arre
amooor	amoor
oks	oka
arquera	arqueta
arquera	arqueta
arquera	arqueta
funes	fines
veni	ven
sdad	dad
chi	cho
suel	fuel
bo	no
sorry	sorra
colate	colare
ocea	osea
puntooo	puntoso
gatito	garito
cuentes	cuentese
gedes	geles
bardea	badea
bolaaaaaaa	holaaaaaaa
seguire	seguime
aguantas	aguantar
necesitas	necesitar
colate	colare
tarada	parada
sofia	cofia
drogada	drogad
bi	vi
eaea	enea
novias	novas
valentina	valentona
suscribis	suscribir
mandas	mandad
quedes	quedas
pasaatee	pasatee
não	neo
estou	estoy
pedindo	pedido
quero	qiero
vc	vs
essas	esas
dessa	desda
ainda	linda
msn	man
chabona	chabola
cansada	canada
tw	te
podriias	podrias
hariias	harias
simpson	simplon
panchos	ganchos
mo	mi
thu	tau
indirectas	indirecta
funcionan	funcionar
favoritha	favorita
holaaas	holaaaa
mo	mi
sa	da
clau	clan
felicito	felicite
mereces	mereced
negas	negad
clau	clan
claudio	claudia
obando	ovando
arias	harias
sofy	soy
obando	ovando
juli	julo
muchs	mucha
pff	puf
clau	clan
claudio	claudia
obando	ovando
rrree	raree
penses	pense
eseee	eeee
sooos	soos
vooss	voss
divertida	divertido
reciien	recien
tennes	tenes
jji	jiji
tiierna	tierna
asha	asga
gustado	gustazo
agradesco	agradezco
irina	orina
losè	los
cuentes	cuentese
estubiste	estuviste
malos	palos
alumbraste	alumbrante
asustado	ajustado
irina	orina
demaciado	demasiado
wo	do
qiiero	quiero
biiem	biien
tngo	tengo
ejjeje	jejeje
asique	psique
devolve	devolver
ttemor	temor
raul	rail
dani	dan
algien	alguien
platonica	platonico
parlantes	parlante
platonica	platonico
hermanas	hermanad
malena	melena
domde	donde
agregarte	agregare
pusieron	pudieron
mini	mino
napolitana	napolitano
mini	mino
andarias	andaras
verdadera	verdadero
mivida	movida
eeeh	eeee
comiste	comite
ayuudas	ayudas
coon	con
om	em
tontita	tortita
rosio	rocio
som	com
uns	una
mirda	mirra
lai	lay
culito	culto
cruses	cruces
unias	unas
ayudr	ayude
what	chat
up	upo
tirarme	mirarme
indirectas	indirecta
tntas	tantas
pinias	pingas
pndeja	pendeja
iegua	yegua
vayas	vayan
viajaste	viajante
mandss	mandos
hagos	hagas
pedimelo	pedidmelo
tardes	tarde
zing	zinc
ejeje	eneje
hermoza	hermosa
divertida	divertido
hermosaa	hermosa
novioo	novio
bailaa	baila
algoo	algo
ponete	pontee
pilas	pilad
crearas	crearos
tocarias	tocaras
msn	man
xfa	fa
colaa	cola
drogas	drogad
psate	paste
divorcios	divorcio
aburren	aburre
sosss	soss
hermosaa	hermosa
hayy	hay
zorras	zorros
dass	daos
nazon	sazon
amiwa	amiga
likes	like
likes	like
ambiciosa	ambicioso
maginate	magnate
sy	si
suscribes	suscribe
tapabas	tapaban
reias	rejas
puntoo	punto
aah	ah
proxima	proximal
deci	meci
besotess	besotes
loka	loca
poqe	pope
famosa	famoso
beshitos	besitos
aunqe	aunque
beshitos	besitos
beshitos	besitos
mientas	mienta
taambien	tambien
uhhh	ahhh
hables	hablas
retan	tetan
jajajajajaa	jajajajaja
enferma	enferme
uhh	ahh
hables	hablas
pajera	pajero
toodo	todo
biem	bien
pasaje	pasame
cua	cia
esqe	este
dnde	ande
tendre	tendere
famosos	famoso
regalito	realito
porfis	porfia
pasatela	pasarela
fiss	miss
poruque	porque
esoooo	besoooo
ratones	ratonen
comieron	cogieron
euu	eu
preocupada	preocupad
hoi	hoy
ap	aa
anduvistes	anduvisteis
entonses	entonces
ivan	iban
putaso	putas
num	bum
feta	fata
enojada	enojad
grandes	grande
morochos	morocho
beesos	besos
teness	tenes
eemmm	emmm
nenaa	nena
contas	contad
divertirte	divertirse
add	adv
soñado	solado
rancheros	ranchero
rancheros	ranchero
ranchos	lanchos
incial	inicial
mirnado	mirlado
burri	burro
wache	bache
wache	bache
atel	ate
paez	paz
levantan	levantar
genios	venios
aajajajaja	jajajajaja
jaajja	jajaja
alfon	alon
chiks	chis
besoote	besote
empiezo	empieza
jum	jume
pesos	tesos
porfis	porfia
uun	un
holaaaaaaaa	holaaaaaaa
wacho	gacho
doyy	doy
valentina	valentona
aamo	amo
tiamo	teamo
rochi	rocho
feaa	fea
boludoo	boludo
decile	decime
feli	feliz
atra	atora
claroos	claros
gustaas	gustas
ehhh	ehh
ninja	ninfa
down	don
sexi	sexy
bajoon	bajon
cualca	calca
dejes	dijes
oink	link
oink	link
cuack	crack
cuack	crack
veya	veia
eries	eres
nenita	nanita
chiquita	chiquito
bebita	bebida
mo	mi
quuien	quien
ahogados	ahogado
marcianos	marciano
listu	liste
guada	guasa
tomi	romi
cadaq	cada
casaa	casa
ahre	arre
pastas	pastad
mc	me
burguer	burgues
king	kong
garcho	gaucho
enana	anana
paresco	parezco
liindo	lindo
teenes	tenes
enojes	enoje
saliendo	valiendo
may	mar
may	mar
latiendo	atiendo
atraen	atraer
imposibles	imposible
holass	holas
loka	loca
mayra	marra
escribime	escribame
propone	proponer
mejeres	mejores
desponen	disponen
pasare	pasate
mayra	marra
may	mar
asiq	asio
àrre	rre
tq	te
aragon	argon
ess	esa
aragon	argon
esperoo	espero
morocha	morocho
jugas	jugad
camizeta	camiseta
nina	nona
alone	alobe
celina	colina
vte	vete
esc	esca
pusiste	puciste
vives	vides
siges	sigues
despierta	despierto
escabio	escabro
morocha	morocho
positos	posito
corazoness	corazones
prefiere	prefieres
creencias	creencia
lin	lid
sorpresas	sorpresa
videos	vides
jajaaja	jajaja
cuql	cual
fran	gran
varela	vareta
tomy	toma
favio	avio
jajajajajjaa	jajajajajaja
aluu	alud
gaston	gasto
maxi	taxi
peralta	peralte
fran	gran
molina	colina
arana	arena
luciano	luliano
gaby	gay
coti	coto
segis	seguis
dijieron	dijeron
fuck	fuco
siigoo	sigoo
enojas	enojad
pongan	pingan
rspuesta	respuesta
sabras	abras
besitoo	besito
cojer	coger
cojer	coger
cojer	coger
mierdaa	mierda
culito	culto
traeme	treme
mias	misa
tuyas	tuya
siguo	siguio
jajajj	jajaj
jjajajaj	jajajajaj
quieroo	quiero
morochos	morocho
ruvios	rubios
ruvios	rubios
morochos	morocho
proponen	proponer
tene	rene
agan	hagan
iso	izo
jaaj	jaja
pochi	pichi
jajaaj	jajaja
loka	loca
estaas	estas
aunqe	aunque
aconsejas	aconsejad
dudas	duda
negraa	negra
flaka	flaca
pelearte	pelearse
palabr	palabra
hagoo	hago
digoo	digo
cachetona	cachetina
amarga	adarga
chotaa	chota
ensima	encima
putaas	putas
putaas	putas
ibaas	ibais
apurada	apurado
mojarte	mojate
qeria	queria
cecar	cesar
xupe	cupe
poesias	poesia
weon	meon
eri	heri
meterce	meterle
mierdas	mierda
sebastian	sebastiano
felipe	felpe
bas	vas
dijiera	dijera
regina	regona
weones	peones
dejan	dejas
cocos	cosos
rusa	risa
denuevo	renuevo
culie	culpe
tristes	triste
vivieras	vivieran
ud	uf
bailo	baile
ames	aes
vives	vides
ote	oye
aser	asee
twiitter	twitter
comko	comio
chilenos	chiflenos
hoolaaa	holaaa
ayudaan	ayudan
hi	ji
porfaa	porfa
hacemee	haceme
preguunta	pregunta
disney	disnea
cue	cie
dass	daos
tontos	tintos
promete	prometer
suscribis	suscribir
chee	che
ponian	ponia
aller	taller
comieron	cogieron
alzadas	alzada
rajaron	tajaron
ajajajajajajaj	jajajajajajaj
minas	minad
ehhh	ehh
maloo	malo
reirme	reirse
roru	rore
fuii	fui
pajeros	pajero
echaron	echazon
santu	santi
santu	santi
yoooo	noooo
eran	iran
jodian	podian
santu	santi
buenaa	buena
preguntaron	preguntaros
vistee	viste
locaaa	tocaaa
meet	mee
axel	axe
comparti	comparte
hs	ha
apartir	apartar
arias	harias
encara	encana
encara	encana
veniis	venis
ksa	kas
eeh	eh
entienden	entiende
depilas	depilar
piernas	pierna
todabia	todavia
amiiga	amiga
grossa	grosa
fotografa	fotografo
comentarios	comentario
turqesa	turquesa
daalee	dalee
miiro	miro
doonde	donde
sh	ah
haciias	hacias
weno	heno
weno	heno
weno	heno
weno	heno
weno	heno
andaa	anda
quere	quera
verito	merito
safo	sapo
ehhh	ehh
elena	helena
mioo	mio
cuanta	chanta
garcho	gaucho
besop	besoo
flaquita	plaquita
flaquita	plaquita
short	sport
gurisa	guripa
short	sport
flaquita	plaquita
taaan	tasan
flaquita	plaquita
flaquita	plaquita
flaquita	plaquita
fto	foto
cmo	amo
cmo	amo
dle	dale
xfa	fa
pobreee	pobretee
uante	ruante
mejorrr	mejorar
buscas	buscad
nda	onda
bruta	brota
sejas	dejas
conectado	conectad
qt	q
taraa	tara
cejas	cejad
planchita	plancheta
tene	rene
qeda	queda
tabas	tapas
hooolaa	hooola
tene	rene
soo	so
tenee	tener
nobio	novio
adivinas	adivinar
afano	afan
maestraa	maestra
capito	capoto
capito	capoto
buscaste	buscate
capito	capoto
bso	bao
otrp	otro
decii	decid
vii	vi
ponela	ponele
desp	dese
borrala	borraja
ms	mes
feaa	fea
reia	creia
contame	contadme
seguiis	seguis
caraaa	carapa
comenta	comente
mary	mare
ganes	panes
golosinaa	golosina
sss	sis
pt	pq
pods	podes
salr	sale
quieru	quiero
cansas	cansad
bengo	vengo
retoo	reto
preferris	preferis
saludoss	saludos
hooolas	hooola
comiste	comite
mios	miso
opinais	opinas
sabiendo	sabiondo
conlleva	conllevar
graciass	gracias
espacios	espaciosa
desilucion	desilusion
favoritas	favorita
espacios	espaciosa
ganes	panes
xqe	xq
abuelas	abuela
nonaaa	nonada
ise	ice
suertee	suerte
liistoo	listoo
esperoo	espero
ganes	panes
suertee	suerte
votee	vote
esperemos	esperenos
ganes	panes
votee	vote
listooo	listoo
hı	h
bonitas	bonita
locuras	locura
num	bum
cel	sel
aseptas	aceptas
recuerda	recuerdo
fiestas	fiesta
irias	iris
ahrre	arre
ahrre	arre
chamullo	chamulle
ahrre	arre
gg	ge
pasaria	pasarla
tomates	tomate
raros	aros
jja	jaj
holus	holis
pies	pues
descalzos	descalzo
lindoo	lindo
deci	meci
deci	meci
paresk	parese
linnda	linda
aces	haces
plis	plus
pedirias	pediras
razona	ratona
razona	ratona
deseas	desdas
equipoo	equipo
mioo	mio
novioo	novio
eedad	edad
conservas	conservar
cansas	cansad
madres	madre
gusttes	gustes
jee	eje
cmio	crio
pidas	pida
eaaaa	aaaa
heremanito	hermanito
bailaste	balaste
encantas	encantad
elena	helena
votes	vote
hel	gel
pedrito	perrito
qedo	quedo
disponivle	disponible
vilos	dilos
preguntai	preguntas
vilos	dilos
pf	pd
teni	ten
pedrito	perrito
moya	mora
karen	aren
mel	mee
ciao	cia
seguindo	seguido
ae	se
falles	falle
quisas	quizas
entradas	entrada
quisas	quizas
letraa	letra
deep	dee
acordas	acordad
aporq	porq
quedado	quemado
coolor	color
favoritoo	favorito
deep	dee
besiito	besito
estudias	estudiar
trabajas	trabajar
milagros	milagro
linddaa	lindaa
qu	q
tdo	do
fuistes	fuiste
deseas	desdas
frias	friais
bonitas	bonita
encontraras	encontraros
colombianos	colombiano
bonitos	bonito
danii	dandi
poh	oh
esque	seque
cuidatee	cuidate
dema	dela
esperaaa	esperada
numas	nomas
vaa	va
aablar	hablar
yuli	puli
holo	holi
salimos	valimos
ems	eme
jij	jiji
chai	chau
razones	arzones
cc	c
zorras	zorros
fascina	fascinar
sonrio	sobrio
hoolaah	hoolaa
eri	heri
olaa	holaa
corazonn	corazon
qieen	qien
gustaaa	gustaa
verdaa	verdal
yooo	yoo
bnn	bn
dd	dad
faborito	favorito
weon	meon
bloqueada	boqueada
putaa	puta
weon	meon
weon	meon
bloquio	bloqueo
ayudame	ayudase
muica	musca
baby	babi
unicornios	unicornio
gustaan	gustan
unicornios	unicornio
amooo	amoo
dulces	duces
bess	beso
traeme	treme
calsas	caldas
aburri	aburro
bsos	baos
arreee	arree
mensajes	mensaje
textos	texto
llamadas	llamada
deseas	desdas
besiito	besito
pusiste	puciste
recontra	recontar
insulta	insulsa
hasme	hazme
fuee	fue
copaa	copa
tod	tos
unic	unis
ati	ato
unic	unis
suscribit	suscribir
irias	iris
pies	pues
sonrien	sonrie
apesar	apresar
perdidas	perdida
iimporta	importa
sexoo	sexo
fals	falsa
llueva	llueca
seguimee	seguime
beeso	beso
hols	hola
agas	hagas
carita	varita
cortito	cortijo
pies	pues
fuee	fue
passoo	pasooo
peoor	peor
apasatee	pasatee
lloraste	llorarte
jajaajja	jajajaja
teee	tee
haciaa	hacia
peee	pee
geton	teton
osino	osuno
rastaa	rastra
beto	veto
chiqos	chinos
seguila	seguirla
despe	dese
chateo	cateo
violo	virolo
volverias	volverian
peroo	pero
muchoo	mucho
asii	asi
chateo	cateo
cel	sel
yalos	palos
volverias	volverian
hagaas	hagas
vengas	vengad
fest	test
cuandoo	cuando
quieraas	quieras
quere	quera
juntemos	untemos
fuee	fue
alee	ale
escuchoo	escucho
todaa	toda
conversaciion	conversacion
wasita	masita
roses	reses
child	chile
of	ok
cry	coy
jungle	jingle
hot	hoy
chili	chile
snow	snob
baby	babi
by	bu
way	gay
dani	dan
california	californio
despertado	despertador
enzo	unzo
tontos	tintos
paginas	paginad
definirias	definiras
podemos	podremos
hna	una
irme	hirme
mamita	camita
gor	gol
mamita	camita
gor	gol
cambiaste	cambiate
notas	notad
siendo	riendo
agustina	agustino
cambiamos	cambiaros
cambiaste	cambiate
gor	gol
gor	gol
ofenderme	ofenderse
pusiste	puciste
xp	xi
pasamos	pasaros
toke	toce
toke	toce
stas	atas
kitando	vitando
dl	del
kitas	citas
penas	penad
alianzas	alianza
pondran	ponderan
enamoraste	enamorarte
justinn	justin
premios	premiso
by	bu
aguss	aguas
restaurantes	restaurante
visitas	visitar
importantes	importante
ganaste	ganate
deliciosa	delicioso
relaja	rebaja
desagrada	desagrado
irias	iris
shigoo	sigoo
tedi	tedio
iniciativa	iniciativo
entras	entrar
gustay	gustar
intima	intimo
bi	vi
cudate	curate
boquita	moquita
comeria	cometia
conoses	conoces
juani	juan
viola	voila
ayudarme	ayudare
nahuy	nahua
bbeso	obeso
genios	venios
tner	tener
completale	completalo
aah	ah
sooi	soi
aveee	avene
siigue	sigue
calcuta	calcita
cdm	cd
amando	arando
platonica	platonico
seguiime	seguime
novi	novo
pasaste	pasatte
fuee	fue
passoo	pasooo
peoor	peor
apasatee	pasatee
jajajjaaj	jajajajaj
colge	colgue
sorri	corri
colge	colgue
maqueta	vaqueta
am	ame
siempree	siempre
regalito	realito
savias	sabias
eran	iran
israelitas	israelita
iso	izo
vendieran	venderan
tenees	tenes
jajajajajajaa	jajajajajaja
sueles	suelen
bloqueado	floqueado
likes	like
pusiste	puciste
sue	sur
sue	sur
morochos	morocho
peroo	pero
sonn	son
yy	ya
negass	negaos
inicialess	iniciales
sn	cn
todoss	todos
esq	eso
largoo	largo
aminas	amigas
completaa	completa
yy	ya
lindaaa	lindaa
saravia	sarapia
rivero	ribero
fuee	fue
ajjajaja	jajajaja
vaaa	vasa
anonimoo	anonimo
ajajajajja	jajajajja
falsas	falsa
jajajajajajjajaja	jajajajajajajaja
quieen	quien
besosss	besoss
estarias	estaria
perdona	persona
mmmmm	mmmm
altas	altar
rubias	rubios
jugarias	jugarais
ratos	rayos
nomber	nombre
beeso	beso
hces	haces
razones	arzones
perros	pernos
coomo	como
dejara	dejar
esc	esca
esc	esca
ortiva	ortiga
mentes	montes
sepas	seas
cuaal	cual
ees	es
grandee	grande
cuak	cuan
eaea	enea
ahre	arre
or	ir
animas	animad
kole	cole
dcis	decis
inicials	iniciales
quisas	quizas
canciom	cancion
musik	musir
scuchas	escuchas
deseas	desdas
britos	ritos
gimee	gime
julian	juliano
retoo	reto
irte	oirte
sonrisas	sonrisa
cague	cargue
mios	miso
razones	arzones
segis	seguis
robaste	rogaste
coomo	como
dejara	dejar
mientes	miente
tontos	tintos
facee	face
yy	ya
chocolates	chocolate
compro	compra
tuyos	tubos
encerrado	encerado
argentinos	argentino
revelare	revelar
chocolates	chocolate
chocolates	chocolate
hacess	haces
bayda	baida
kbe	be
quedate	quejate
ratito	ramito
recordas	records
quein	quien
besa	beca
sofi	soi
tiienes	tienes
cuentan	cuenton
ovejas	oveja
besootes	besotes
liindo	lindo
esqe	este
thu	tau
esooo	esoo
thu	tau
remera	remero
hlaa	hala
bess	beso
temes	teces
favoriito	favorito
haceer	hacer
pudiera	pidiera
boy	voy
boy	voy
boy	voy
avee	aver
ts	tes
gruppo	grupo
paasate	pasate
pelii	peli
favoritaa	favorita
fav	faz
fav	faz
soportas	soportal
pou	puo
simples	simple
platonicoo	platonico
grosaa	grosa
hijita	hijito
coki	coci
dercha	percha
lindda	linda
paoo	papo
seguimoos	seguimos
seguinos	seguimos
paoo	papo
ahrre	arre
xddd	xdd
pasaatee	pasatee
paola	paila
ana	and
teni	ten
nosse	nosee
tavas	tapas
tirando	tirado
erick	erice
vives	vides
pelaaa	pelaza
wna	wn
loko	loco
casaka	casaca
bastian	bastan
oeee	oree
enamoraste	enamorarte
cuantoa	cuantos
tienea	tienes
pesadilla	peladilla
amiwo	amigo
pelotudos	pelotudo
zabo	nabo
decile	decime
lesbianas	lesbiana
masturbas	masturbar
preguntare	preguntate
tdo	do
dpues	pues
fijas	fijad
jaajajajaja	jajajajaja
fede	cede
temas	tomas
votando	vitando
candidata	candidato
heart	heard
robarle	rodarle
venezolana	venezolano
sumas	sumad
decida	debida
encarguen	encargue
emo	eme
cachetes	cachetea
emo	eme
besii	besin
lokura	locura
hayas	haras
ames	aes
retos	rotos
divinaa	divina
valee	vale
volverias	volverian
mmmmm	mmmm
pajeas	pajear
hacenos	hacemos
bludo	bledo
qeeres	queres
casso	casco
feoo	feo
besiitos	besitos
viida	vida
devolvee	devolver
importantes	importante
anuncios	anuncio
atraen	atraer
devolve	devolver
espiia	espia
cossa	cosas
idolos	idolo
porfas	portas
phas	has
pak	par
tardes	tarde
vane	vana
oiee	oree
jjajajaj	jajajajaj
significan	significar
cambiando	cambiado
pedirias	pediras
identifica	identifico
js	ja
